id,Percent_Sporulation_BLUP,Percent_Sporulation_mean,Percent_Lesion_BLUP,Percent_Lesion_mean
Comet,-3.335175793,46.09375,0.470429159,68.046875
MaleParent,-25.35363847,5.520833333,-13.60045969,27.91666667
Pgem,5.836255081,67.91428571,0.586258131,79.25714286
Symphony,-5.836255081,23.75,-0.586258131,49.6875
HL2017014_001,6.089125832,60.9375,1.751830013,80.625
HL2017014_002,1.049661729,43.125,1.319210909,66.5625
HL2017014_003,-16.32887398,28.75,-3.689257066,66.5625
HL2017014_005,2.170781053,48.59375,0.564239007,83.4375
HL2017014_006,-10.67059748,30.15625,0.624695531,83.59375
HL2017014_007,-21.88326192,20.53571429,4.185783626,88.21428571
HL2017014_008,-9.785760714,39.53125,-2.088901774,71.40625
HL2017014_009,12.50874787,43.28125,4.439512808,56.40625
HL2017014_011,9.394610036,51.9375,2.920457104,61.5625
HL2017014_012,-7.960278566,15.15625,0.727806514,61.40625
HL2017014_013,10.78220998,69.0625,1.054837428,79.53125
HL2017014_014,27.95205122,66.71875,5.020219654,72.5
HL2017014_015,-1.235907166,31.60416667,0.412795841,51.875
HL2017014_016,-2.855949384,29.47916667,0.317637312,51.66666667
HL2017014_017,-5.827303827,18.21875,-2.597302257,52.8125
HL2017014_018,-5.544358198,18.625,-3.987802288,49.21875
HL2017014_020,-1.747358803,22.8125,3.049012777,52.8125
HL2017014_021,8.858322027,45.6875,2.668308153,66.54166667
HL2017014_022,12.49547563,50.45833333,3.410544683,68.16666667
HL2017014_023,-10.80161892,9.8125,-1.255491668,41.6875
HL2017014_024,27.36439492,65.875,6.289806639,75.78125
HL2017014_025,3.039215916,42.8125,-2.399716928,47.8125
HL2017014_026,-4.206809268,19.28125,-3.274739539,36.46875
HL2017014_027,-2.20387881,45.46875,-4.189869603,51.40625
HL2017014_028,7.166430043,36.875,3.38789353,68.28125
HL2017014_029,-1.94895367,46.77419355,-3.141949706,63.87096774
HL2017014_030,-12.24592552,28.75,-1.173498854,72.8125
HL2017014_031,-11.71647833,27.67857143,-1.903768859,65.35714286
HL2017014_033,-10.15854845,12,1.695110883,63.90625
HL2017014_034,-6.464932629,21.9375,0.941359813,48.90625
HL2017014_035,6.782804233,48.1875,0.199913565,54.53125
HL2017014_036,2.745506435,40.35714286,2.643502889,57.85714286
HL2017014_037,-1.202165367,50.46875,-3.205604881,67.8125
HL2017014_038,-14.80638782,4.0625,-4.749878703,32.65625
HL2017014_039,3.259669546,56.875,2.416851767,82.34375
HL2017014_040,-0.973698043,25.1875,0.365067375,60.46875
HL2017014_041,12.78136544,50.83333333,1.583500918,64.16666667
HL2017014_042,7.540052379,43.95833333,1.773817976,64.58333333
HL2017014_043,4.086220165,54.5,-0.62293474,60.625
HL2017014_044,-5.142160339,41.25,-1.348413018,58.75
HL2017014_045,-7.301479974,33.28125,-4.948597846,48.75
HL2017014_046,-7.101560699,15.125,-1.303856886,41.5625
HL2017014_047,-0.943787934,37.09375,1.602504901,58.15625
HL2017014_048,17.65290225,84.0625,2.630985938,90.3125
HL2017014_049,-14.01096201,6.46875,-5.076019704,46.40625
HL2017014_050,-4.394238642,41.5,0.903111614,65.53571429
HL2017014_051,-3.237909408,52.5,-3.921882839,68.95833333
HL2017014_052,-6.317187174,44.0625,-0.541442821,71.875
HL2017014_053,-11.31922672,1.5625,-2.516305009,35.5
HL2017014_056,9.682857711,55.9375,5.055654739,83.125
HL2017014_057,8.683942245,72.14285714,2.6881756,93.75
HL2017014_059,-15.69768757,29.65625,-7.195735406,57.5
HL2017014_060,-24.84335702,5.892857143,-12.84917123,37.67857143
HL2017014_061,-7.216473461,39.53125,-6.35753185,55.625
HL2017014_062,6.038714676,54.58333333,0.360450253,76.45833333
HL2017014_064,6.702727161,34.0625,2.884571697,68.59375
HL2017014_066,7.071051908,52.1875,2.879219907,77.5
HL2017014_067,24.70074108,77.5,5.176567785,83.4375
HL2017014_069,-15.56184823,26.25,-4.635372544,65.52083333
HL2017014_070,3.378444457,52.1875,1.243900042,77.03125
HL2017014_071,7.77964152,57.65625,4.556656598,75.625
HL2017014_072,3.425060208,49.375,-0.480849292,69.0625
HL2017014_074,-6.929176232,28.5,-2.82291259,46.71875
HL2017014_075,-1.717022116,45,2.484496072,85.46875
HL2017014_077,5.247793359,55,4.056365673,89.53125
HL2017014_078,5.691786437,52.85714286,0.566316844,80.71428571
HL2017014_079,9.682857711,55.9375,2.335111199,76.09375
HL2017014_080,-11.61168971,22.1875,-3.879371912,56.25
HL2017014_081,-10.92408031,32.33333333,-0.97176916,73.54166667
HL2017014_083,11.74803841,69.0625,5.439677922,90.15625
HL2017014_084,8.047980185,63.75,0.844982167,78.28125
HL2017014_085,-0.642001855,60.3125,-0.869476142,80.78125
HL2017014_086,-4.31064186,45.3125,-2.002291817,72.5
HL2017014_087,-32.09249673,15.15625,-7.580150206,63.4375
HL2017014_088,-9.31634843,11.0625,1.252245574,64.375
HL2017014_089,-22.04914918,15.3125,-1.138893267,68.90625
HL2017014_090,4.791576189,39.68085106,1.511264788,65.63829787
HL2017014_091,-2.264472762,21.1875,-0.295441418,60.375
HL2017014_092,-8.37103257,41.5625,-7.409075806,57.65625
HL2017014_093,0.884324047,65.3125,-1.154005659,81.71875
HL2017014_095,20.34459643,74.6875,1.471086854,85.78125
HL2017014_096,8.204268037,58.75,5.994976458,87.34375
HL2017014_097,16.64453821,69.375,3.466152116,90.9375
HL2017014_100,-12.72606652,24.10714286,-4.154296613,60
HL2017014_101,3.493357333,66.25,0.33965432,83.90625
HL2017014_102,10.89347377,76.875,2.999741336,90.78125
HL2017014_103,-0.795784195,48.75,-0.432792587,70.9375
HL2017014_104,-4.456972952,40.9375,-1.71846959,69.375
HL2017014_105,-0.809631467,54.375,-2.436869823,66.25
HL2017014_106,-10.97049211,8.6875,-5.277058921,47.5
HL2017014_107,11.37879561,71.875,3.729695534,82.1875
HL2017014_108,3.970758057,52.1875,2.622047859,70.625
HL2017014_109,-4.191135077,40.46875,0.385156504,64.84375
HL2017014_110,11.07006878,69.6875,1.525366645,79.0625
HL2017014_111,-5.913696093,42.5,-0.302011927,76.5625
HL2017014_113,9.216138049,63.125,3.194598799,80.3125
HL2017014_114,-3.442237465,54.16666667,-4.546276986,65.20833333
HL2017014_115,-14.29553404,36.40625,-3.72654758,70.3125
HL2017014_116,2.237475304,58.75,0.150669366,72.9375
HL2017014_117,11.37879561,71.875,1.915999841,77.5
HL2017014_118,-14.84808766,34.21875,-0.018608899,72.5
HL2017014_119,-22.17869017,19.82142857,-0.64034815,75.35714286
HL2017014_120,-4.536430312,28.59375,-1.578304688,73.28125
HL2017014_121,-11.80454706,21.5,-10.53716494,26.78125
HL2017014_122,-14.80114062,3.1875,-1.16601535,58.125
HL2017014_123,0.538402427,46.25,1.350173808,85.46875
HL2017014_124,18.82689019,89.6875,3.89585659,94.0625
HL2017014_125,-8.63348687,23.90625,-3.193230072,47.375
HL2017014_126,13.77295093,75.3125,5.059739042,85.625
HL2017014_127,5.06693159,62.8125,2.629386813,79.34375
HL2017014_128,7.952982769,62.14285714,1.370523165,76.07142857
HL2017014_129,0.11124652,57.5,-2.019175727,71.25
HL2017014_130,-23.72148143,23.28125,-4.558349697,64.6875
HL2017014_131,-19.52304726,25,-3.024619795,69.0625
HL2017014_132,-4.578129152,49.33333333,0.612134401,81.16666667
HL2017014_133,12.2827246,53.9375,1.328917856,59.0625
HL2017014_134,3.760948072,38.125,1.973872855,67.96875
HL2017014_135,17.80791229,82.5,2.681843869,86.875
HL2017014_136,-21.21850087,26.875,-1.051871357,73.75
HL2017014_137,1.319344389,65.625,-0.844136339,82.5
HL2017014_138,-7.980535419,24.84375,0.663896102,57.34375
HL2017014_139,14.32550455,77.5,1.835452545,84.6875
HL2017014_140,15.35780058,85.78125,2.84371157,92.03125
HL2017014_141,0.945419673,51.25,-0.795531725,70
HL2017014_142,15.09660272,75.46875,1.283540552,78.4375
HL2017014_144,4.788433997,69.53125,-0.638382643,82.34375
HL2017014_145,4.744544927,59.03225806,1.386534237,81.29032258
HL2017014_146,13.98244954,80.625,3.120348087,88.4375
HL2017014_147,7.932678739,64.83870968,1.332906762,80.64516129
HL2017014_148,17.70959658,79.28571429,3.636194284,91.42857143
HL2017014_149,6.188077635,67.32142857,1.257957355,79.28571429
HL2017014_150,21.35357784,85.16129032,3.743164228,91.93548387
HL2017014_151,6.703836008,62.65625,-0.424989301,75.78125
HL2017014_152,14.91122332,77.25806452,3.366996498,88.5483871
HL2017014_153,-1.777496637,33.75,-2.987677893,47.90625
HL2017014_154,-21.43615135,26.5625,-1.11232788,73.59375
HL2017014_155,14.47617844,78.125,0.64091129,78.125
HL2017014_156,13.29401676,64.375,3.619372006,87.96875
HL2017014_157,5.672354061,71.875,2.299602862,90.625
HL2017014_158,15.03132485,85.3125,2.904168093,92.1875
HL2017014_159,16.36327898,84.21875,3.239958589,88.4375
HL2017014_160,17.66918188,86.09375,4.207262959,90.9375
HL2017014_161,-7.709232412,21.65625,0.462459778,64.0625
HL2017014_162,17.96333498,86.25,3.694916735,89.53125
HL2017014_163,5.996337894,69.84375,0.097828227,83.28125
HL2017014_164,13.61660372,70.625,2.011152922,82.1875
HL2017014_165,-2.924833033,46.875,-0.286194956,76.25
HL2017014_166,-33.44877659,8.90625,-4.089286718,69.375
HL2017014_167,1.221639084,58.28125,0.896850045,82.03125
HL2017014_168,-5.103836768,53.90625,1.971980443,88.125
HL2017014_169,8.468559281,76.04166667,0.543160136,84.16666667
HL2017014_170,3.306660057,69.27083333,-1.312431189,80.10416667
HL2017014_171,17.06316165,70,4.83903139,87.8125
HL2017014_173,-14.90130186,13.4375,-6.839983892,41.40625
HL2017014_174,5.653679564,70.52083333,0.782285175,81.97916667
HL2017014_175,7.628716521,72.1875,2.213806536,88.75
HL2017014_177,11.65525047,77.96875,2.576545674,89.6875
HL2017014_178,6.651788244,60.625,2.736631199,84.0625
HL2017014_179,11.54892412,67.65625,2.736631199,84.0625
HL2017014_180,8.787472227,76.07142857,0.164241998,84.46428571
HL2017014_181,12.67654664,78.75,2.818065472,87.65625
HL2017014_182,-1.637530937,57.5,-2.537120012,75
HL2017014_184,-6.516073019,54.375,-1.44870157,80.9375
HL2017014_185,17.42298828,86.25,3.846132659,92.96875
HL2017014_186,21.94045865,81.875,4.62066194,89.6875
HL2017014_187,9.043444665,74.21875,-0.264910911,82.34375
HL2017014_188,5.669862169,69.375,-0.023084819,82.96875
HL2017014_189,18.41829993,87.5,6.353231481,96.25
HL2017014_190,13.39645434,80.46875,1.790610874,87.65625
HL2017014_191,3.493357333,66.25,0.944219551,85.46875
HL2017014_192,8.719460831,76.25,0.244081077,85.3125
HL2017014_193,11.87290095,78.28125,1.306958689,86.40625
HL2017014_194,3.690390278,60.3125,-0.677068519,80
HL2017014_196,-8.437082499,22.71875,-1.580266382,55
HL2017014_197,10.87285624,70.625,0.894801081,84.0625
HL2017014_198,-6.730848406,44.84375,-1.49169099,78.4375
HL2017014_199,16.01075904,74.0625,1.769326829,81.5625
HL2017014_200,12.6691959,69.375,1.458353342,82.1875
HL2017014_201,8.978970489,67.85714286,1.494796935,77.5
HL2017014_202,-4.749844446,40.78125,-1.179450986,71.5625
HL2017014_203,3.557375939,58.75,-0.315716341,71.875
HL2017014_204,6.164639839,59.0625,1.584083102,80.9375
HL2017014_205,20.43095698,84.84375,5.044308687,88.75
HL2017014_206,3.018918294,59.84375,2.626047763,82.5
HL2017014_207,15.34874286,82.1875,3.978534845,90
HL2017014_208,13.90196985,71.5625,4.462413311,84.6875
HL2017014_209,24.98756542,86.25,6.192531541,93.75
HL2017014_210,-12.66596823,32.1875,1.1141836,80.625
HL2017014_212,-10.14840858,37.03125,1.076848018,75.9375
HL2017014_213,9.647047576,64.0625,2.672300517,83.75
HL2017014_214,-29.73747948,12.8125,-0.396778392,74.6875
HL2017014_215,-27.44029853,19.58333333,-1.707908403,74.16666667
HL2017014_216,-20.14667852,5.90625,-11.49513617,29.375
HL2017014_217,4.450795553,74.0625,2.631331072,88.90625
HL2017014_218,8.060824156,46.40625,-0.105127219,58.8125
HL2017014_219,1.604190151,57.8125,-0.275865346,75
HL2017014_220,11.36429546,72.1875,3.17281413,88.125
HL2017014_222,-9.354031386,28.1875,1.74240657,67.65625
HL2017014_223,13.89952506,73.75,3.339062338,83.75
HL2017014_224,10.71540988,89.0625,2.417879009,88.75
HL2017014_225,0.463488251,61.40625,-0.413304381,76.09375
HL2017014_226,-19.52765367,4.6875,-7.638714318,43.125
HL2017014_227,3.432296344,55.625,-0.93510948,70.625
HL2017014_228,8.982383676,63.59375,1.422694921,76.71875
HL2017014_229,7.132354565,60.9375,-2.506979081,66.5625
HL2017014_230,-11.47408582,42.60416667,1.1800724,78.125
HL2017014_231,-6.610152465,51.25,-2.650195736,70.3125
HL2017014_232,-10.97260753,37.29166667,-0.533052751,75.3125
HL2017014_233,14.53619689,72.65625,2.60917664,85.3125
HL2017014_234,-5.13718767,38.125,1.453466096,79.0625
HL2017014_235,-8.786657301,48.125,-4.342978382,65.9375
HL2017014_236,1.584443236,35,-0.08164893,62.65625
HL2017014_237,-9.033010726,27.14285714,-1.208871568,57.92857143
HL2017014_238,-16.1064366,20.71428571,-1.916767012,68.92857143
HL2017014_239,-9.659716733,20.75,0.621913441,64
HL2017014_240,-15.71877021,10.15625,1.453946756,66.625
HL2017014_241,-23.34502327,11.78571429,-3.89807722,65.35714286
HL2017014_242,-12.66231874,23.4375,-1.437606545,59.4375
HL2017014_243,-0.320588278,63.125,-1.159511695,74.6875
HL2017014_244,3.184269758,69.0625,0.368793619,78.75
HL2017014_245,-18.81901057,7.8125,-7.867744785,38.75
HL2017014_246,11.30066157,81.07142857,2.289875219,84.28571429
HL2017014_247,-22.84772921,12.85714286,-7.79868195,55.53571429
HL2017014_248,15.7714958,81.09375,3.495189498,88.75
HL2017014_249,-8.808957137,50.9375,-2.126816064,72.1875
HL2017014_250,-18.49440366,37.03125,-3.698685665,68.125
HL2017014_251,13.19604154,79.6875,4.544130513,88.90625
HL2017014_252,4.576547602,70.15625,1.137836183,80.625
HL2017014_253,7.514829131,74.375,1.500575322,81.5625
HL2017014_254,-0.211763036,63.28125,-1.522250833,73.75
HL2017014_256,4.783905345,39.59375,4.271220733,73.90625
HL2017014_257,-12.55330175,32.1875,0.616778732,78.4375
HL2017014_258,-0.503827901,55.41666667,-1.952547232,74.79166667
HL2017014_259,-11.2894874,48.28125,-5.132749983,64.53125
HL2017014_260,5.707238045,55.3125,0.092883399,77.8125
HL2017014_261,4.657084091,52.1875,0.848900866,77.5
HL2017014_262,-26.14624651,17.96875,-11.1580395,46.875
HL2017014_265,1.762891741,52.1875,1.884747963,78.75
HL2017014_266,-4.581699515,61.09375,-3.232951669,73.75
HL2017014_267,-19.23373005,36.875,-10.39246749,50.9375
HL2017014_268,9.278483298,77.8125,3.149793681,85.9375
HL2017014_271,5.703159912,80,1.25740787,84.375
HL2017014_272,10.25994102,74.375,2.438434097,86.5625
HL2017014_273,18.91319077,72.65625,6.531814037,92.1875
HL2017014_274,6.317751471,72.65625,2.407423168,83.90625
HL2017014_275,-5.213427138,45,0.055928999,72.5
HL2017014_276,-3.871028907,62.5,-2.373838877,70
HL2017014_277,7.28025184,78.125,3.598635441,91.40625
HL2017014_278,10.61868137,80,3.617119383,92.08333333
HL2017014_279,4.858736938,57.1875,-4.461569208,65.3125
HL2017014_280,-16.72871894,35.625,-2.277174705,74.375
HL2017014_281,-9.065819053,38.21428571,-1.954628433,72.5
HL2017014_282,16.82951353,74.375,2.309561379,82.8125
HL2017014_283,-31.59771906,4.84375,-4.09883007,66.25
HL2017014_284,-10.90475517,33.92857143,-2.75373276,70.71428571
HL2017014_285,10.78362832,75.16129032,0.803072129,82.25806452
HL2017014_286,3.295125549,64.375,-0.100739873,80
HL2017014_287,3.083928838,54.375,2.133281913,81.5625
HL2017014_288,-13.31507844,31.09375,-3.857003977,66.875
HL2017014_289,1.553897164,56.25,-0.56905512,71.25
HL2017014_290,-28.94313055,18.59375,-0.253421772,79.0625
HL2017014_291,-5.545703563,52.1875,-0.857987003,77.5
HL2017014_292,-9.348786325,39.0625,-0.064984047,72.1875
HL2017014_293,-8.744418286,37.65625,-2.647873515,70
HL2017014_294,3.744774978,56.07142857,-2.913668473,68.92857143
HL2017014_295,12.30163609,77.8125,3.49488266,88.75
HL2017014_296,-4.970370027,49.6875,-0.290070243,76.25
HL2017014_297,6.347455119,65.9375,1.644538497,81.25
HL2017014_298,3.9532998,62.5,0.435408035,78.125
HL2017014_299,-7.03804962,46.71875,-2.224678982,71.25
HL2017014_300,4.84038925,65.71428571,0.933679785,81.07142857
HL2017014_301,-9.300256945,37.34375,-0.93510948,70.625
HL2017014_302,-2.863463789,45.78125,-0.553705633,70.625
HL2017014_303,-5.440333692,38.03571429,2.96896004,83.57142857
HL2017014_304,-2.14091374,53.75,0.435408035,78.125
HL2017014_305,-8.670428247,44.375,-1.257374612,73.75
HL2017014_306,2.865047382,60.9375,-1.136461566,74.0625
HL2017014_307,2.511732924,62.14285714,-0.621138311,76.42857143
HL2017014_308,-19.36403596,33.38709677,-1.537097702,76.12903226
HL2017014_309,11.03084213,76.5625,1.789002035,84.6875
HL2017014_310,-30.76195233,12.65625,-5.199139918,63.5625
HL2017014_311,-18.94526001,27.8125,-4.909025136,69.0625
HL2017014_312,-17.55487143,24.6875,-2.24648828,66.25
HL2017014_313,5.516079829,57.8125,1.018163968,74.6875
HL2017014_314,-7.885341608,33.4375,-0.489828399,75.15625
HL2017014_315,-6.236189688,44.51612903,-0.342297945,76.12903226
