id,Percent_Spor,Percent_Lesion
HL2017014_001,6.089125832,1.751830013
HL2017014_002,1.049661729,1.319210909
HL2017014_003,-16.32887398,-3.689257066
HL2017014_005,2.170781053,0.564239007
HL2017014_006,-10.67059748,0.624695531
HL2017014_007,-21.88326192,4.185783626
HL2017014_008,-9.785760714,-2.088901774
HL2017014_009,12.50874787,4.439512808
HL2017014_011,9.394610036,2.920457104
HL2017014_012,-7.960278566,0.727806514
HL2017014_013,10.78220998,1.054837428
HL2017014_014,27.95205122,5.020219654
HL2017014_015,-1.235907166,0.412795841
HL2017014_016,-2.855949384,0.317637312
HL2017014_017,-5.827303827,-2.597302257
HL2017014_018,-5.544358198,-3.987802288
HL2017014_020,-1.747358803,3.049012777
HL2017014_021,8.858322027,2.668308153
HL2017014_022,12.49547563,3.410544683
HL2017014_023,-10.80161892,-1.255491668
HL2017014_024,27.36439492,6.289806639
HL2017014_025,3.039215916,-2.399716928
HL2017014_026,-4.206809268,-3.274739539
HL2017014_027,-2.20387881,-4.189869603
HL2017014_028,7.166430043,3.38789353
HL2017014_029,-1.94895367,-3.141949706
HL2017014_030,-12.24592552,-1.173498854
HL2017014_031,-11.71647833,-1.903768859
HL2017014_033,-10.15854845,1.695110883
HL2017014_034,-6.464932629,0.941359813
HL2017014_035,6.782804233,0.199913565
HL2017014_036,2.745506435,2.643502889
HL2017014_037,-1.202165367,-3.205604881
HL2017014_038,-14.80638782,-4.749878703
HL2017014_039,3.259669546,2.416851767
HL2017014_040,-0.973698043,0.365067375
HL2017014_041,12.78136544,1.583500918
HL2017014_042,7.540052379,1.773817976
HL2017014_043,4.086220165,-0.62293474
HL2017014_044,-5.142160339,-1.348413018
HL2017014_045,-7.301479974,-4.948597846
HL2017014_046,-7.101560699,-1.303856886
HL2017014_047,-0.943787934,1.602504901
HL2017014_048,17.65290225,2.630985938
HL2017014_050,-4.394238642,0.903111614
HL2017014_051,-3.237909408,-3.921882839
HL2017014_052,-6.317187174,-0.541442821
HL2017014_053,-11.31922672,-2.516305009
HL2017014_056,9.682857711,5.055654739
HL2017014_059,-15.69768757,-7.195735406
HL2017014_060,-24.84335702,-12.84917123
HL2017014_061,-7.216473461,-6.35753185
HL2017014_062,6.038714676,0.360450253
HL2017014_066,7.071051908,2.879219907
HL2017014_067,24.70074108,5.176567785
