Inoc_Date,Rating_Date,Genotype,Run,Bench,Node,Leaf,Percent_Sporulation,Percent_Lesion
4/24/19,5/1/19,Symphony,1,A,3,1,30,70
4/24/19,5/1/19,Symphony,1,A,3,2,40,70
4/24/19,5/1/19,Symphony,1,A,4,1,20,50
4/24/19,5/1/19,Symphony,1,A,4,2,30,50
4/24/19,5/1/19,Symphony,1,B,3,1,30,30
4/24/19,5/1/19,Symphony,1,B,3,2,5,10
4/24/19,5/1/19,Symphony,1,B,4,1,20,60
4/24/19,5/1/19,Symphony,1,B,4,2,50,70
4/24/19,5/1/19,Symphony,1,D,3,1,10,25
4/24/19,5/1/19,Symphony,1,D,3,2,20,40
4/24/19,5/1/19,Symphony,1,D,4,1,10,70
4/24/19,5/1/19,Symphony,1,D,4,2,15,60
4/24/19,5/1/19,Symphony,1,G,3,1,50,70
4/24/19,5/1/19,Symphony,1,G,3,2,20,50
4/24/19,5/1/19,Symphony,1,G,4,1,0,20
4/24/19,5/1/19,Symphony,1,G,4,2,30,50
4/24/19,5/1/19,Pgem,1,A,3,1,70,70
4/24/19,5/1/19,Pgem,1,A,3,2,80,80
4/24/19,5/1/19,Pgem,1,A,4,1,50,85
4/24/19,5/1/19,Pgem,1,A,4,2,70,90
4/24/19,5/1/19,Pgem,1,B,3,1,40,40
4/24/19,5/1/19,Pgem,1,B,3,2,60,60
4/24/19,5/1/19,Pgem,1,B,4,1,80,80
4/24/19,5/1/19,Pgem,1,B,4,2,90,90
4/24/19,5/1/19,Pgem,1,D,3,1,80,90
4/24/19,5/1/19,Pgem,1,D,3,2,90,90
4/24/19,5/1/19,Pgem,1,D,4,1,20,40
4/24/19,5/1/19,Pgem,1,D,4,2,50,60
4/24/19,5/1/19,Pgem,1,G,3,1,70,70
4/24/19,5/1/19,Pgem,1,G,3,2,60,60
4/24/19,5/1/19,Pgem,1,G,4,1,50,80
4/24/19,5/1/19,Pgem,1,G,4,2,60,90
4/24/19,5/1/19,256,1,A,3,1,10,40
4/24/19,5/1/19,256,1,A,3,2,40,70
4/24/19,5/1/19,256,1,A,4,1,70,90
4/24/19,5/1/19,256,1,A,4,2,70,85
4/24/19,5/1/19,256,1,B,3,1,0,0
4/24/19,5/1/19,256,1,B,3,2,15,20
4/24/19,5/1/19,256,1,B,4,1,80,80
4/24/19,5/1/19,256,1,B,4,2,80,90
4/24/19,5/1/19,256,1,D,3,1,5,50
4/24/19,5/1/19,256,1,D,3,2,2,70
4/24/19,5/1/19,256,1,D,4,1,20,80
4/24/19,5/1/19,256,1,D,4,2,0,70
4/24/19,5/1/19,256,1,G,3,1,0,30
4/24/19,5/1/19,256,1,G,3,2,0,20
4/24/19,5/1/19,256,1,G,4,1,40,50
4/24/19,5/1/19,256,1,G,4,2,10,80
4/24/19,5/1/19,245,1,A,3,1,0,10
4/24/19,5/1/19,245,1,A,3,2,0,50
4/24/19,5/1/19,245,1,A,4,1,0,50
4/24/19,5/1/19,245,1,A,4,2,0,40
4/24/19,5/1/19,245,1,B,3,1,0,0
4/24/19,5/1/19,245,1,B,3,2,0,20
4/24/19,5/1/19,245,1,B,4,1,70,80
4/24/19,5/1/19,245,1,B,4,2,50,60
4/24/19,5/1/19,245,1,D,3,1,0,0
4/24/19,5/1/19,245,1,D,3,2,0,0
4/24/19,5/1/19,245,1,D,4,1,0,20
4/24/19,5/1/19,245,1,D,4,2,0,50
4/24/19,5/1/19,245,1,G,3,1,0,5
4/24/19,5/1/19,245,1,G,3,2,0,5
4/24/19,5/1/19,245,1,G,4,1,0,50
4/24/19,5/1/19,245,1,G,4,2,0,50
4/24/19,5/1/19,242,1,A,3,1,5,80
4/24/19,5/1/19,242,1,A,3,2,5,90
4/24/19,5/1/19,242,1,A,4,1,0,70
4/24/19,5/1/19,242,1,A,4,2,0,80
4/24/19,5/1/19,242,1,B,3,1,0,5
4/24/19,5/1/19,242,1,B,3,2,0,0
4/24/19,5/1/19,242,1,B,4,1,0,10
4/24/19,5/1/19,242,1,B,4,2,0,10
4/24/19,5/1/19,242,1,D,3,1,0,1
4/24/19,5/1/19,242,1,D,3,2,0,1
4/24/19,5/1/19,242,1,D,4,1,0,60
4/24/19,5/1/19,242,1,D,4,2,0,40
4/24/19,5/1/19,242,1,G,3,1,0,5
4/24/19,5/1/19,242,1,G,3,2,0,30
4/24/19,5/1/19,242,1,G,4,1,0,40
4/24/19,5/1/19,242,1,G,4,2,0,40
4/24/19,5/1/19,240,1,A,3,1,0,80
4/24/19,5/1/19,240,1,A,3,2,0,70
4/24/19,5/1/19,240,1,A,4,1,0,90
4/24/19,5/1/19,240,1,A,4,2,0,90
4/24/19,5/1/19,240,1,B,3,1,0,50
4/24/19,5/1/19,240,1,B,3,2,0,70
4/24/19,5/1/19,240,1,B,4,1,0,70
4/24/19,5/1/19,240,1,B,4,2,5,80
4/24/19,5/1/19,240,1,D,3,1,0,2
4/24/19,5/1/19,240,1,D,3,2,0,5
4/24/19,5/1/19,240,1,D,4,1,0,25
4/24/19,5/1/19,240,1,D,4,2,0,40
4/24/19,5/1/19,240,1,G,3,1,0,5
4/24/19,5/1/19,240,1,G,3,2,0,10
4/24/19,5/1/19,240,1,G,4,1,0,40
4/24/19,5/1/19,240,1,G,4,2,0,30
4/24/19,5/1/19,239,1,A,3,1,2,50
4/24/19,5/1/19,239,1,A,3,2,0,40
4/24/19,5/1/19,239,1,A,4,1,0,90
4/24/19,5/1/19,239,1,A,4,2,0,70
4/24/19,5/1/19,239,1,B,3,1,10,60
4/24/19,5/1/19,239,1,B,3,2,0,60
4/24/19,5/1/19,239,1,B,4,1,0,80
4/24/19,5/1/19,239,1,B,4,2,0,90
4/24/19,5/1/19,239,1,D,3,1,0,0
4/24/19,5/1/19,239,1,D,3,2,0,0
4/24/19,5/1/19,239,1,D,4,1,5,20
4/24/19,5/1/19,239,1,D,4,2,5,20
4/24/19,5/1/19,239,1,G,3,1,0,8
4/24/19,5/1/19,239,1,G,3,2,2,20
4/24/19,5/1/19,239,1,G,4,1,0,60
4/24/19,5/1/19,239,1,G,4,2,0,60
4/24/19,5/1/19,237,1,A,3,1,0,0
4/24/19,5/1/19,237,1,A,3,2,0,0
4/24/19,5/1/19,237,1,A,4,1,0,60
4/24/19,5/1/19,237,1,A,4,2,5,60
4/24/19,5/1/19,237,1,B,3,1,60,90
4/24/19,5/1/19,237,1,B,3,2,60,85
4/24/19,5/1/19,237,1,B,4,1,50,90
4/24/19,5/1/19,237,1,B,4,2,70,95
4/24/19,5/1/19,237,1,D,3,1,0,10
4/24/19,5/1/19,237,1,D,3,2,0,0
4/24/19,5/1/19,237,1,D,4,1,0,5
4/24/19,5/1/19,237,1,D,4,2,0,20
4/24/19,5/1/19,237,1,G,3,1,0,5
4/24/19,5/1/19,237,1,G,3,2,0,2
4/24/19,5/1/19,237,1,G,4,1,40,50
4/24/19,5/1/19,237,1,G,4,2,40,40
4/24/19,5/1/19,236,1,A,3,1,0,50
4/24/19,5/1/19,236,1,A,3,2,0,50
4/24/19,5/1/19,236,1,A,4,1,5,80
4/24/19,5/1/19,236,1,A,4,2,0,90
4/24/19,5/1/19,236,1,B,3,1,5,20
4/24/19,5/1/19,236,1,B,3,2,20,30
4/24/19,5/1/19,236,1,B,4,1,80,80
4/24/19,5/1/19,236,1,B,4,2,70,70
4/24/19,5/1/19,236,1,D,3,1,0,5
4/24/19,5/1/19,236,1,D,3,2,0,0
4/24/19,5/1/19,236,1,D,4,1,5,40
4/24/19,5/1/19,236,1,D,4,2,10,50
4/24/19,5/1/19,236,1,G,3,1,0,5
